data,taxa_desemprego,taxa_juros,taxa_inadimplencia,taxa_desemprego_lag1,taxa_juros_lag1,taxa_desemprego_lag3,taxa_juros_lag3,taxa_desemprego_lag6,taxa_juros_lag6,taxa_inadimplencia_ano_anterior,alta_inadimplencia
2016-01-01,12.64,10.45,3.49,12.79,10.23,12.26,10.61,12.15,11.29,2.25,1
2016-02-01,12.9,10.07,2.85,12.64,10.45,12.77,10.59,12.18,10.72,2.48,1
2016-03-01,12.71,9.58,3.02,12.9,10.07,12.79,10.23,12.37,10.77,1.98,1
2016-04-01,12.32,9.42,3.31,12.71,9.58,12.64,10.45,12.26,10.61,2.07,1
2016-05-01,12.55,9.41,3.24,12.32,9.42,12.9,10.07,12.77,10.59,3.16,1
2016-06-01,12.12,9.23,2.86,12.55,9.41,12.71,9.58,12.79,10.23,2.39,1
2016-07-01,12.46,9.16,2.77,12.12,9.23,12.32,9.42,12.64,10.45,2.58,1
2016-08-01,12.09,9.04,2.48,12.46,9.16,12.55,9.41,12.9,10.07,3.26,0
2016-09-01,11.9,8.22,2.64,12.09,9.04,12.12,9.23,12.71,9.58,3.69,0
2016-10-01,11.61,7.63,2.74,11.9,8.22,12.46,9.16,12.32,9.42,2.68,1
2016-11-01,11.91,7.09,2.74,11.61,7.63,12.09,9.04,12.55,9.41,2.85,0
2016-12-01,11.39,7.26,2.32,11.91,7.09,11.9,8.22,12.12,9.23,3.13,0
2017-01-01,11.13,6.75,2.44,11.39,7.26,11.61,7.63,12.46,9.16,3.49,0
2017-02-01,10.97,6.54,2.62,11.13,6.75,11.91,7.09,12.09,9.04,2.85,0
2017-03-01,11.0,6.23,2.21,10.97,6.54,11.39,7.26,11.9,8.22,3.02,0
2017-04-01,10.79,6.07,2.1,11.0,6.23,11.13,6.75,11.61,7.63,3.31,0
2017-05-01,10.63,6.08,1.92,10.79,6.07,10.97,6.54,11.91,7.09,3.24,0
2017-06-01,10.48,5.69,1.87,10.63,6.08,11.0,6.23,11.39,7.26,2.86,0
2017-07-01,10.77,5.44,1.56,10.48,5.69,10.79,6.07,11.13,6.75,2.77,0
2017-08-01,10.02,5.11,1.81,10.77,5.44,10.63,6.08,10.97,6.54,2.48,0
2017-09-01,9.89,4.86,1.58,10.02,5.11,10.48,5.69,11.0,6.23,2.64,0
2017-10-01,9.74,5.0,2.3,9.89,4.86,10.77,5.44,10.79,6.07,2.74,0
2017-11-01,10.05,5.02,1.83,9.74,5.0,10.02,5.11,10.63,6.08,2.74,0
2017-12-01,10.15,5.36,1.39,10.05,5.02,9.89,4.86,10.48,5.69,2.32,0
2018-01-01,9.83,5.03,1.02,10.15,5.36,9.74,5.0,10.77,5.44,2.44,0
2018-02-01,9.67,5.24,1.02,9.83,5.03,10.05,5.02,10.02,5.11,2.62,0
2018-03-01,9.73,5.01,1.8,9.67,5.24,10.15,5.36,9.89,4.86,2.21,0
2018-04-01,10.17,4.97,1.36,9.73,5.01,9.83,5.03,9.74,5.0,2.1,0
2018-05-01,10.29,5.14,1.4,10.17,4.97,9.67,5.24,10.05,5.02,1.92,0
2018-06-01,10.37,5.35,0.72,10.29,5.14,9.73,5.01,10.15,5.36,1.87,0
2018-07-01,10.22,6.1,1.67,10.37,5.35,10.17,4.97,9.83,5.03,1.56,1
2018-08-01,10.61,5.73,1.6,10.22,6.1,10.29,5.14,9.67,5.24,1.81,0
2018-09-01,10.79,6.29,1.18,10.61,5.73,10.37,5.35,9.73,5.01,1.58,0
